"INTERPRO2GO","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000212 DNA helicase, UvrD/REP type;",22,23,35,8,3,13,9,45,3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000212 DNA helicase, UvrD/REP type;IPR004586 RecBCD enzyme subunit RecB;",1,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000212 DNA helicase, UvrD/REP type;IPR005752 ATP-dependent DNA helicase Rep;",1,NA,NA,1,NA,NA,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000392 NifH/frxC family;",3,1,NA,5,2,2,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000559 Formate-tetrahydrofolate ligase, FTHFS;",1,1,2,NA,NA,NA,2,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000740 GrpE nucleotide exchange factor;",1,NA,1,1,3,1,1,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000850 Adenylate kinase/UMP-CMP kinase;IPR006259 Adenylate kinase subfamily;",1,7,1,2,1,2,NA,1,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000924 Glutamyl/glutaminyl-tRNA synthetase;IPR004527 Glutamate-tRNA ligase, bacterial/mitochondrial;",2,NA,1,4,2,2,2,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000977 DNA ligase, ATP-dependent;",1,NA,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001238 DNA-binding, RecF;",1,1,NA,NA,2,NA,1,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001241 DNA topoisomerase, type IIA;IPR000565 DNA topoisomerase, type IIA, subunit B;IPR011557 DNA gyrase, subunit B;",1,NA,1,3,1,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001241 DNA topoisomerase, type IIA;IPR005737 DNA topoisomerase IV, subunit B, Gram-negative;",2,NA,NA,1,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001267 Thymidine kinase;",1,2,NA,NA,50,6,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001269 tRNA-dihydrouridine synthase;",1,NA,NA,NA,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001270 ClpA/B family;",2,2,1,2,NA,1,2,2,3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001270 ClpA/B family;IPR013461 ATP-dependent Clp protease ATP-binding subunit ClpA;",1,NA,1,1,1,NA,3,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001272 Phosphoenolpyruvate carboxykinase, ATP-utilising;",1,NA,NA,4,NA,2,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001278 Arginine-tRNA ligase;",1,NA,NA,1,NA,NA,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001404 Heat shock protein Hsp90 family;",2,NA,1,NA,3,2,5,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001558 HIV negative factor Nef;",2,3,2,4,4,4,2,6,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001806 Small GTPase;",3,1,5,2,2,6,1,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001806 Small GTPase;IPR003578 Small GTPase Rho;",1,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001977 Dephospho-CoA kinase;",2,NA,1,1,2,NA,4,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002133 S-adenosylmethionine synthetase;",1,1,1,2,NA,1,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002218 tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG-related;IPR004416 tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG;",1,NA,NA,2,NA,2,2,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002301 Isoleucine-tRNA ligase;IPR023585 Isoleucine-tRNA ligase, type 1;",1,NA,1,2,2,NA,NA,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002302 Leucine-tRNA ligase;",1,3,1,NA,6,3,3,5,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002303 Valine-tRNA ligase;",1,NA,NA,2,2,1,6,4,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002306 Tryptophan-tRNA ligase;",3,1,NA,NA,NA,NA,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002307 Tyrosine-tRNA ligase;IPR024088 Tyrosine-tRNA ligase, bacterial-type;IPR024107 Tyrosine-tRNA ligase, bacterial-type, type 1;",1,NA,NA,2,4,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002307 Tyrosine-tRNA ligase;IPR024088 Tyrosine-tRNA ligase, bacterial-type;IPR024108 Tyrosine-tRNA ligase, bacterial-type, type 2;",2,NA,NA,1,2,1,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002312 Aspartyl/Asparaginyl-tRNA synthetase, class IIb;IPR004524 Aspartate-tRNA ligase, type 1;",1,NA,NA,NA,2,1,4,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002313 Lysine-tRNA ligase, class II;",1,NA,NA,NA,2,1,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002316 Proline-tRNA ligase, class IIa;IPR004499 Proline-tRNA ligase, class IIa, archaeal-type;",1,NA,1,3,1,NA,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002316 Proline-tRNA ligase, class IIa;IPR004500 Prolyl-tRNA synthetase, class IIa, bacterial-type;IPR023716 Proline-tRNA ligase, class IIa, type 2;",1,1,NA,2,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002316 Proline-tRNA ligase, class IIa;IPR004500 Prolyl-tRNA synthetase, class IIa, bacterial-type;IPR023717 Prolyl-tRNA synthetase, class IIa, type 1;",2,NA,NA,NA,1,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002317 Serine-tRNA ligase, type1;",1,2,NA,2,1,1,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002318 Alanine-tRNA ligase, class IIc;IPR023033 Alanine-tRNA ligase, eukaryota/bacteria;",1,1,3,NA,1,1,NA,7,3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002423 Chaperonin Cpn60/TCP-1 family;",1,4,6,5,9,4,6,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002423 Chaperonin Cpn60/TCP-1 family;IPR017998 Chaperone tailless complex polypeptide 1 (TCP-1);",1,2,NA,1,3,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003000 Sirtuin family;",1,NA,NA,NA,1,NA,NA,3,4
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003000 Sirtuin family;IPR026587 Sirtuin, class II;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003000 Sirtuin family;IPR028628 Sirtuin, class U;",1,NA,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003136 Cytidylate kinase;",1,NA,1,NA,1,NA,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003203 Cobinamide kinase/cobinamide phosphate guanyltransferase;",1,1,NA,1,1,2,2,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003669 Thymidylate synthase ThyX;",1,NA,NA,1,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003724 ATP:cob(I)alamin adenosyltransferase CobA/CobO/ButR;",1,2,NA,1,NA,1,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003758 Tetraacyldisaccharide 4'-kinase;",2,1,1,3,3,NA,2,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003836 Glucokinase;",2,NA,1,NA,1,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004487 Clp protease, ATP-binding subunit ClpX;",1,NA,1,2,3,NA,NA,5,NA
