"SEED","SUBERR793601"
"SEED;Amino Acids and Derivatives;Alanine biosynthesis;Cysteine desulfurase (EC 2.8.1.7);",1
"SEED;Amino Acids and Derivatives;Alanine biosynthesis;Valine--pyruvate aminotransferase (EC 2.6.1.66);",3
"SEED;Amino Acids and Derivatives;Alanine, serine, glycine metabolism in plants;D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);",1
"SEED;Amino Acids and Derivatives;Alanine, serine, glycine metabolism in plants;L-alanine:glyoxylate aminotransferase (EC 2.6.1.44);",2
"SEED;Amino Acids and Derivatives;Amino acid racemase;Aspartate racemase (EC 5.1.1.13);",1
"SEED;Amino Acids and Derivatives;Amino acid racemase;Glutamate racemase (EC 5.1.1.3);",1
"SEED;Amino Acids and Derivatives;Arginine and Ornithine Degradation;Biosynthetic arginine decarboxylase (EC 4.1.1.19);",1
"SEED;Amino Acids and Derivatives;Arginine and Ornithine Degradation;Ornithine carbamoyltransferase (EC 2.1.3.3);",1
"SEED;Amino Acids and Derivatives;Arginine Biosynthesis extended;Acetylglutamate kinase (EC 2.7.2.8);",1
"SEED;Amino Acids and Derivatives;Arginine Biosynthesis extended;N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38);",1
"SEED;Amino Acids and Derivatives;Arginine Biosynthesis extended;Ornithine carbamoyltransferase (EC 2.1.3.3);",1
"SEED;Amino Acids and Derivatives;Arginine deiminase and agmatine deiminase pathways in Streptococci;Asparaginyl-tRNA synthetase (EC 6.1.1.22);",1
"SEED;Amino Acids and Derivatives;Arginine deiminase and agmatine deiminase pathways in Streptococci;Aspartate aminotransferase (EC 2.6.1.1);",2
"SEED;Amino Acids and Derivatives;Arginine deiminase and agmatine deiminase pathways in Streptococci;Ornithine carbamoyltransferase (EC 2.1.3.3);",1
"SEED;Amino Acids and Derivatives;Arginine Deiminase Pathway;Ornithine carbamoyltransferase (EC 2.1.3.3);",1
"SEED;Amino Acids and Derivatives;Arginine metabolism and urea cycle in plants;Acetylglutamate kinase (EC 2.7.2.8);",1
"SEED;Amino Acids and Derivatives;Arginine metabolism and urea cycle in plants;N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38);",1
"SEED;Amino Acids and Derivatives;Arginine metabolism and urea cycle in plants;Ornithine carbamoyltransferase (EC 2.1.3.3);",1
"SEED;Amino Acids and Derivatives;Aromatic amino acid degradation;Predicted 2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase;",1
"SEED;Amino Acids and Derivatives;Branched chain amino acid degradation regulons;Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168);",2
"SEED;Amino Acids and Derivatives;Branched chain amino acid degradation regulons;Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1);",2
"SEED;Amino Acids and Derivatives;Branched chain amino acid degradation regulons;Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4);",2
"SEED;Amino Acids and Derivatives;Branched chain amino acid degradation regulons;Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4);",1
"SEED;Amino Acids and Derivatives;Branched-Chain Amino Acid Biosynthesis;3-isopropylmalate dehydratase small subunit (EC 4.2.1.33);",1
"SEED;Amino Acids and Derivatives;Branched-Chain Amino Acid Biosynthesis;Valine--pyruvate aminotransferase (EC 2.6.1.66);",3
"SEED;Amino Acids and Derivatives;Branched-chain amino acid metabolism in plants;3-isopropylmalate dehydratase small subunit (EC 4.2.1.33);",1
"SEED;Amino Acids and Derivatives;Branched-chain amino acid metabolism in plants;Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168);",2
"SEED;Amino Acids and Derivatives;Branched-chain amino acid metabolism in plants;Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4);",1
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in plants;3-dehydroquinate synthase (EC 4.2.3.4);",2
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in plants;5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19);",2
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in plants;Chorismate synthase (EC 4.2.3.5);",1
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in plants;Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25);",1
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in plants;Shikimate kinase I (EC 2.7.1.71);",1
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;3-dehydroquinate synthase (EC 4.2.3.4);",2
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19);",2
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;Chorismate synthase (EC 4.2.3.5);",1
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25);",1
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;Shikimate kinase I (EC 2.7.1.71);",1
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;3-dehydroquinate synthase (EC 4.2.3.4);",2
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19);",2
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;Chorismate synthase (EC 4.2.3.5);",1
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25);",1
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;Shikimate kinase I (EC 2.7.1.71);",1
"SEED;Amino Acids and Derivatives;Cinnamic Acid Degradation;Acetaldehyde dehydrogenase (EC 1.2.1.10);",1
"SEED;Amino Acids and Derivatives;Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate);3-dehydroquinate synthase (EC 4.2.3.4);",2
