"INTERPRO2GO","SUBERR793600"
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000158 Cell division protein FtsZ;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000185 Protein translocase subunit SecA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000212 DNA helicase, UvrD/REP type;",23
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000343 Tetrapyrrole biosynthesis, glutamyl-tRNA reductase;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000392 NifH/frxC family;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000559 Formate-tetrahydrofolate ligase, FTHFS;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000659 Pyridoxamine 5'-phosphate oxidase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000850 Adenylate kinase/UMP-CMP kinase;IPR006259 Adenylate kinase subfamily;",7
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000870 Homoserine kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001094 Flavodoxin-like;IPR023208 NADPH-cytochrome P450 reductase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001238 DNA-binding, RecF;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001241 DNA topoisomerase, type IIA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001267 Thymidine kinase;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001269 tRNA-dihydrouridine synthase;IPR004653 tRNA-dihydrouridine(20/20a) synthase;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001270 ClpA/B family;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001270 ClpA/B family;IPR017730 Chaperonin ClpB;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001312 Hexokinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001518 Argininosuccinate synthase;IPR023434 Argininosuccinate synthase, type 1 subfamily;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001558 HIV negative factor Nef;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001645 Folylpolyglutamate synthetase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001806 Small GTPase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002133 S-adenosylmethionine synthetase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002302 Leucine-tRNA ligase;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002306 Tryptophan-tRNA ligase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002306 Tryptophan-tRNA ligase;IPR024109 Tryptophan-tRNA ligase, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002312 Aspartyl/Asparaginyl-tRNA synthetase, class IIb;IPR004522 Asparagine-tRNA ligase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002313 Lysine-tRNA ligase, class II;IPR034762 Bacterial/eukaryotic lysine-tRNA ligase, class II;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002316 Proline-tRNA ligase, class IIa;IPR004500 Prolyl-tRNA synthetase, class IIa, bacterial-type;IPR023716 Proline-tRNA ligase, class IIa, type 2;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002317 Serine-tRNA ligase, type1;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002318 Alanine-tRNA ligase, class IIc;IPR023033 Alanine-tRNA ligase, eukaryota/bacteria;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002320 Threonine-tRNA ligase, class IIa;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002423 Chaperonin Cpn60/TCP-1 family;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002423 Chaperonin Cpn60/TCP-1 family;IPR017998 Chaperone tailless complex polypeptide 1 (TCP-1);",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002624 Deoxynucleoside kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003203 Cobinamide kinase/cobinamide phosphate guanyltransferase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003724 ATP:cob(I)alamin adenosyltransferase CobA/CobO/ButR;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003758 Tetraacyldisaccharide 4'-kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004004 Helicase/polymerase/peptidase polyprotein, Calicivirus-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004472 Dethiobiotin synthase BioD;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004504 DNA repair protein RadA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004529 Phenylalanyl-tRNA synthetase, class IIc, alpha subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004530 Phenylalanyl-tRNA synthetase, class IIc, mitochondrial;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004539 Translation elongation factor EF1A, eukaryotic/archaeal;",5
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004540 Translation elongation factor EFG/EF2;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004576 Transcription-repair coupling factor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004604 DNA recombination/repair protein RecN;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004807 UvrABC system, subunit B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005255 PdxA family;IPR037510 4-hydroxythreonine-4-phosphate dehydrogenase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005742 DNA topoisomerase IV, subunit A, Gram-negative;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005930 Pyruvate carboxylase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006082 Phosphoribulokinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006172 DNA-directed DNA polymerase, family B;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006194 Glycine-tRNA synthetase, heterodimeric;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006298 GTP-binding protein TypA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006689 Small GTPase superfamily, ARF/SAR type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR007692 DNA helicase, DnaB type;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR008209 Phosphoenolpyruvate carboxykinase, GTP-utilising;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR008349 Mitogen-activated protein (MAP) kinase, ERK1/2;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR008352 Mitogen-activated protein (MAP) kinase p38-like;IPR038783 Fungal mitogen-activated protein (MAP) kinase Sty1/Hog1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR008543 Uncharacterised protein family Ycf2;",14
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010114 DNA-binding transcriptional regulator NtrC;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010128 ATPase, type I secretion system, PrtD;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010204 Na(+)-translocating NADH-quinone reductase subunit C;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010394 5-nucleotidase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010971 Ubiquinone biosynthesis hydroxylase UbiH/COQ6;IPR011295 2-polyprenyl-6-methoxyphenol 4-hydroxylase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR011179 Isopentenyl-diphosphate delta-isomerase, FMN-dependent;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR011904 Acetate-CoA ligase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012080 Aspartate-semialdehyde dehydrogenase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012081 Alkyl hydroperoxide reductase subunit F;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012131 Histidinol dehydrogenase;IPR022695 Histidinol dehydrogenase, monofunctional;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012132 Glucose-methanol-choline oxidoreductase;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012136 NADP transhydrogenase, beta subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012693 ABC transporter, phosphonate import, PhnC;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012763 DNA polymerase III, subunit gamma/ tau;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012846 Acetolactate synthase, large subunit, biosynthetic;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR013765 DNA recombination and repair protein RecA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR014006 Succinate dehydrogenase/fumarate reductase, flavoprotein subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR014758 Methionyl-tRNA synthetase;IPR023457 Methionine-tRNA synthetase, type 2;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR016440 Rubredoxin-oxygen oxidoreductase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR016484 GTP-binding protein EngA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR016491 Septin;IPR030644 Septin 6;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR017875 Aliphatic sulfonates import ATP-binding protein SsuB;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR020946 Flavin monooxygenase-like;IPR000960 Flavin monooxygenase FMO;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR022694 3-hydroxyacyl-CoA dehydrogenase;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR022941 Signal recognition particle, SRP54 subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000026 Guanine-specific ribonuclease N1/T1/U2;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000037 SsrA-binding protein;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000110 Ribosomal protein S1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000212 DNA helicase, UvrD/REP type;",23
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000380 DNA topoisomerase, type IA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000380 DNA topoisomerase, type IA;IPR005738 DNA topoisomerase III;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000380 DNA topoisomerase, type IA;IPR028612 DNA topoisomerase I, type IA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000424 Primosome PriB/single-strand DNA-binding;IPR011344 Single-stranded DNA-binding protein;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000702 Ribosomal protein L6;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000748 Pseudouridine synthase, RsuA/RluB/E/F;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000814 TATA-box binding protein;IPR033710 TATA-box binding protein, eukaryotic;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001009 Influenza RNA-dependent RNA polymerase subunit PA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001009 Influenza RNA-dependent RNA polymerase subunit PA;IPR037534 Polymerase acidic protein;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001207 Transposase, mutator type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001238 DNA-binding, RecF;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001241 DNA topoisomerase, type IIA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001288 Translation initiation factor 3;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001352 Ribonuclease HII/HIII;IPR004641 Ribonuclease HIII;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001352 Ribonuclease HII/HIII;IPR022898 Ribonuclease HII;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001407 Influenza RNA-dependent RNA polymerase subunit PB1;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001568 Ribonuclease T2-like;IPR033697 Ribonuclease T2, eukaryotic;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001591 Influenza RNA-dependent RNA polymerase subunit PB2;",5
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001631 DNA topoisomerase I;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001719 AP endonuclease 2;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001801 Histone-like protein H-NS;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001892 Ribosomal protein S13;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002092 DNA-directed RNA polymerase, phage-type;",8
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002119 Histone H2A;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002166 RNA dependent RNA polymerase, hepatitis C virus;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002514 Transposase IS3/IS911family;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002583 Ribosomal protein S20;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002910 Floricaula/leafy protein;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003154 S1/P1 nuclease;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003346 Transposase, IS116/IS110/IS902;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003690 Transcription termination factor, mitochondrial/chloroplastic;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003735 Metal-sensitive transcriptional repressor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004261 Hepatitis E virus structural protein 2;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004403 Peptide chain release factor eRF1/aRF1;IPR020918 Peptide chain release factor aRF1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004504 DNA repair protein RadA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004539 Translation elongation factor EF1A, eukaryotic/archaeal;",5
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004540 Translation elongation factor EFG/EF2;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004576 Transcription-repair coupling factor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004591 Replication factor A protein 1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004807 UvrABC system, subunit B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005259 Primosomal protein N';",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005650 BlaI transcriptional regulatory family;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005742 DNA topoisomerase IV, subunit A, Gram-negative;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005747 Endonuclease MutS2;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006172 DNA-directed DNA polymerase, family B;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006197 Peptidase S24, LexA-like;IPR006200 Transcription regulator LexA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006225 Pseudouridine synthase, RluC/RluD;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006309 DNA polymerase 3, epsilon subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR007692 DNA helicase, DnaB type;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR009967 Flagellum biosynthesis repressor FlbT;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010114 DNA-binding transcriptional regulator NtrC;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010433 Plant specific eukaryotic initiation factor 4B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR011773 DNA-directed RNA polymerase, alpha subunit;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012156 Cold shock, CspA;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012756 DNA-directed RNA polymerase, subunit beta'';",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012761 RNA polymerase sigma factor RpoS;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR013742 Whirly transcription factor;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR013765 DNA recombination and repair protein RecA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR014322 RNA polymerase sigma-B/F/G type;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR019307 RNA-binding protein AU-1/Ribonuclease E/G;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR019382 Translation initiation factor 3 complex subunit L;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR024627 V(D)J recombination-activating protein 1;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR026699 Exosome complex RNA-binding protein 1/RRP40/RRP4;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR027524 Eukaryotic translation initiation factor 3 subunit H;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR027528 Eukaryotic translation initiation factor 3 subunit M;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR039109 Ribosomal protein L30/YlxQ;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR039241 Ribosomal RNA-processing protein Rrp9-like;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR039547 60S ribosomal protein L19;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR039605 AT-hook motif nuclear-localized protein;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR039974 Pre-mRNA-splicing factor SLU7;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR040050 Zinc finger protein 830;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR000394 RNA polymerase sigma factor 54;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR005333 Transcription factor, TCP;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR012761 RNA polymerase sigma factor RpoS;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR014322 RNA polymerase sigma-B/F/G type;",2
