"SEED","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"SEED;Amino Acids and Derivatives;Alanine biosynthesis;Cysteine desulfurase (EC 2.8.1.7), SufS subfamily;",1,1,NA,NA,1,2,NA,2,NA
"SEED;Amino Acids and Derivatives;Alanine biosynthesis;Cysteine desulfurase (EC 2.8.1.7);",1,NA,1,1,2,1,NA,2,NA
"SEED;Amino Acids and Derivatives;Alanine, serine, glycine metabolism in plants;Cysteine desulfurase (EC 2.8.1.7), SufS subfamily;",1,1,NA,NA,1,2,NA,2,NA
"SEED;Amino Acids and Derivatives;Alanine, serine, glycine metabolism in plants;D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);",1,3,1,NA,2,1,3,2,3
"SEED;Amino Acids and Derivatives;Alanine, serine, glycine metabolism in plants;Phosphoserine aminotransferase (EC 2.6.1.52);",2,NA,NA,NA,NA,NA,2,1,NA
"SEED;Amino Acids and Derivatives;Alanine, serine, glycine metabolism in plants;Serine hydroxymethyltransferase (EC 2.1.2.1);",3,NA,NA,NA,NA,NA,1,5,NA
"SEED;Amino Acids and Derivatives;Amino acid racemase;Diaminopimelate epimerase (EC 5.1.1.7);",1,NA,NA,1,1,NA,1,1,NA
"SEED;Amino Acids and Derivatives;Arginine and Ornithine Degradation;Agmatinase (EC 3.5.3.11);",1,NA,NA,NA,NA,NA,NA,1,NA
"SEED;Amino Acids and Derivatives;Arginine Biosynthesis extended;Acetylglutamate kinase (EC 2.7.2.8);",1,1,1,NA,NA,NA,NA,NA,1
"SEED;Amino Acids and Derivatives;Arginine deiminase and agmatine deiminase pathways in Streptococci;Agmatinase (EC 3.5.3.11);",1,NA,NA,NA,NA,NA,NA,1,NA
"SEED;Amino Acids and Derivatives;Arginine metabolism and urea cycle in plants;Acetylglutamate kinase (EC 2.7.2.8);",1,1,1,NA,NA,NA,NA,NA,1
"SEED;Amino Acids and Derivatives;Aromatic amino acid degradation;2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Aromatic amino acid degradation;2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Aromatic amino acid degradation;5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Aromatic amino acid degradation;Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28);",1,NA,NA,NA,NA,NA,NA,NA,2
"SEED;Amino Acids and Derivatives;Branched chain amino acid degradation regulons;3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4);",1,NA,NA,1,NA,NA,2,1,NA
"SEED;Amino Acids and Derivatives;Branched chain amino acid degradation regulons;Acetoacetyl-CoA synthetase (EC 6.2.1.16);",2,NA,NA,NA,NA,1,2,NA,NA
"SEED;Amino Acids and Derivatives;Branched chain amino acid degradation regulons;Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4);",1,1,1,NA,NA,2,3,NA,1
"SEED;Amino Acids and Derivatives;Branched-Chain Amino Acid Biosynthesis;Dihydroxy-acid dehydratase (EC 4.2.1.9);",2,NA,NA,4,1,3,2,4,NA
"SEED;Amino Acids and Derivatives;Branched-chain amino acid metabolism in plants;Dihydroxy-acid dehydratase (EC 4.2.1.9);",2,NA,NA,4,1,3,2,4,NA
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in plants;3-dehydroquinate synthase (EC 4.2.3.4);",1,NA,2,2,NA,NA,NA,1,NA
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in plants;5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19);",1,NA,2,NA,NA,NA,1,NA,2
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in plants;Chorismate synthase (EC 4.2.3.5);",2,NA,1,NA,NA,3,NA,NA,1
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;3-dehydroquinate synthase (EC 4.2.3.4);",1,NA,2,2,NA,NA,NA,1,NA
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19);",1,NA,2,NA,NA,NA,1,NA,2
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;Chorismate synthase (EC 4.2.3.5);",2,NA,1,NA,NA,3,NA,NA,1
"SEED;Amino Acids and Derivatives;Chorismate biosynthesis in Streptococci;Prephenate dehydratase (EC 4.2.1.51);",1,NA,NA,1,NA,NA,1,NA,1
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;3-dehydroquinate synthase (EC 4.2.3.4);",1,NA,2,2,NA,NA,NA,1,NA
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19);",1,NA,2,NA,NA,NA,1,NA,2
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;Chorismate synthase (EC 4.2.3.5);",2,NA,1,NA,NA,3,NA,NA,1
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;Prephenate dehydratase (EC 4.2.1.51);",1,NA,NA,1,NA,NA,1,NA,1
"SEED;Amino Acids and Derivatives;Chorismate Synthesis;Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone] (EC 1.1.99.25);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate);3-dehydroquinate synthase (EC 4.2.3.4);",1,NA,2,2,NA,NA,NA,1,NA
"SEED;Amino Acids and Derivatives;Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate);5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19);",1,NA,2,NA,NA,NA,1,NA,2
"SEED;Amino Acids and Derivatives;Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate);Chorismate synthase (EC 4.2.3.5);",2,NA,1,NA,NA,3,NA,NA,1
"SEED;Amino Acids and Derivatives;Cysteine Biosynthesis, MCB 432;Cystathionine gamma-lyase (EC 4.4.1.1);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Cysteine Biosynthesis, MCB 432;Cysteine synthase (EC 2.5.1.47);",1,NA,1,1,NA,NA,1,2,NA
"SEED;Amino Acids and Derivatives;Cysteine Biosynthesis, MCB 432;Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4);",1,NA,NA,NA,3,NA,1,NA,NA
"SEED;Amino Acids and Derivatives;Cysteine Biosynthesis, MCB 432;Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Cysteine Biosynthesis;Cystathionine gamma-lyase (EC 4.4.1.1);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Cysteine Biosynthesis;Cysteine synthase (EC 2.5.1.47);",1,NA,1,1,NA,NA,1,2,NA
"SEED;Amino Acids and Derivatives;Cysteine Biosynthesis;Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4);",1,NA,NA,NA,3,NA,1,NA,NA
"SEED;Amino Acids and Derivatives;Cysteine Biosynthesis;Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Evolution of Proline Biosynthesis (for review by Fichman et al);Acetylglutamate kinase (EC 2.7.2.8);",1,1,1,NA,NA,NA,NA,NA,1
"SEED;Amino Acids and Derivatives;Glutamine synthetases;Glutamine synthetase type I (EC 6.3.1.2);",1,1,NA,NA,1,3,1,NA,NA
"SEED;Amino Acids and Derivatives;Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis;Glutamate synthase [NADPH] large chain (EC 1.4.1.13);",2,NA,1,4,6,1,5,2,NA
"SEED;Amino Acids and Derivatives;Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis;Glutamine synthetase type I (EC 6.3.1.2);",1,1,NA,NA,1,3,1,NA,NA
"SEED;Amino Acids and Derivatives;Glutamine, glutamate, aspartate, asparagine metabolism in plants;Citrate synthase (si) (EC 2.3.3.1);",1,1,2,NA,2,NA,1,2,NA
"SEED;Amino Acids and Derivatives;Glycine and Serine Utilization;Cystathionine gamma-lyase (EC 4.4.1.1);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Glycine and Serine Utilization;D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);",1,3,1,NA,2,1,3,2,3
"SEED;Amino Acids and Derivatives;Glycine and Serine Utilization;Phosphoserine aminotransferase (EC 2.6.1.52);",2,NA,NA,NA,NA,NA,2,1,NA
"SEED;Amino Acids and Derivatives;Glycine and Serine Utilization;Serine hydroxymethyltransferase (EC 2.1.2.1);",3,NA,NA,NA,NA,NA,1,5,NA
"SEED;Amino Acids and Derivatives;Glycine Biosynthesis;Serine hydroxymethyltransferase (EC 2.1.2.1);",3,NA,NA,NA,NA,NA,1,5,NA
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis in plants;Adenylosuccinate synthetase (EC 6.3.4.4);",1,NA,3,2,NA,NA,NA,NA,3
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis in plants;ATP phosphoribosyltransferase (EC 2.4.2.17);",1,NA,2,NA,1,1,NA,NA,1
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis in plants;Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19);",1,NA,NA,1,NA,NA,NA,NA,1
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis in Streptococci;Adenylosuccinate synthetase (EC 6.3.4.4);",1,NA,3,2,NA,NA,NA,NA,3
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis in Streptococci;ATP phosphoribosyltransferase (EC 2.4.2.17);",1,NA,2,NA,1,1,NA,NA,1
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis in Streptococci;ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17);",1,NA,1,NA,1,NA,1,NA,NA
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis in Streptococci;Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19);",1,NA,NA,1,NA,NA,NA,NA,1
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis;ATP phosphoribosyltransferase (EC 2.4.2.17);",1,NA,2,NA,1,1,NA,NA,1
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis;ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17);",1,NA,1,NA,1,NA,1,NA,NA
"SEED;Amino Acids and Derivatives;Histidine Biosynthesis;Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19);",1,NA,NA,1,NA,NA,NA,NA,1
"SEED;Amino Acids and Derivatives;HMG CoA Synthesis;Acetoacetyl-CoA synthetase (EC 6.2.1.16);",2,NA,NA,NA,NA,1,2,NA,NA
"SEED;Amino Acids and Derivatives;HMG CoA Synthesis;Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4);",1,1,1,NA,NA,2,3,NA,1
"SEED;Amino Acids and Derivatives;HMG-CoA;Acetoacetyl-CoA synthetase (EC 6.2.1.16);",2,NA,NA,NA,NA,1,2,NA,NA
"SEED;Amino Acids and Derivatives;HMG-CoA;Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4);",1,1,1,NA,NA,2,3,NA,1
"SEED;Amino Acids and Derivatives;Isoleucine degradation;Butyryl-CoA dehydrogenase (EC 1.3.99.2);",3,NA,1,NA,3,6,3,4,2
"SEED;Amino Acids and Derivatives;Isoleucine degradation;Enoyl-CoA hydratase (EC 4.2.1.17);",2,2,1,1,1,5,4,4,2
"SEED;Amino Acids and Derivatives;Khodge314 Isoleucine Biosynthesis;Dihydroxy-acid dehydratase (EC 4.2.1.9);",2,NA,NA,4,1,3,2,4,NA
"SEED;Amino Acids and Derivatives;Leucine Degradation and HMG-CoA Metabolism;Acetoacetyl-CoA synthetase (EC 6.2.1.16);",2,NA,NA,NA,NA,1,2,NA,NA
"SEED;Amino Acids and Derivatives;Leucine Degradation and HMG-CoA Metabolism;Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4);",1,1,1,NA,NA,2,3,NA,1
"SEED;Amino Acids and Derivatives;Lysine and threonine metabolism in plants;Diaminopimelate epimerase (EC 5.1.1.7);",1,NA,NA,1,1,NA,1,1,NA
"SEED;Amino Acids and Derivatives;Lysine and threonine metabolism in plants;L,L-diaminopimelate aminotransferase (EC 2.6.1.83);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Lysine and threonine metabolism in plants;Threonine synthase (EC 4.2.3.1);",2,NA,NA,1,NA,NA,NA,2,NA
"SEED;Amino Acids and Derivatives;Lysine Biosynthesis DAP Pathway;2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117);",1,NA,NA,2,1,NA,2,1,1
"SEED;Amino Acids and Derivatives;Lysine Biosynthesis DAP Pathway;Diaminopimelate epimerase (EC 5.1.1.7);",1,NA,NA,1,1,NA,1,1,NA
"SEED;Amino Acids and Derivatives;Lysine Biosynthesis DAP Pathway;L,L-diaminopimelate aminotransferase (EC 2.6.1.83);",1,NA,NA,NA,NA,NA,NA,NA,NA
"SEED;Amino Acids and Derivatives;Lysine biosynthesis in Streptococci;Diaminopimelate epimerase (EC 5.1.1.7);",1,NA,NA,1,1,NA,1,1,NA
"SEED;Amino Acids and Derivatives;Lysine biosynthesis in Streptococci;L,L-diaminopimelate aminotransferase (EC 2.6.1.83);",1,NA,NA,NA,NA,NA,NA,NA,NA
